Year,Month,Market,Commodity,Variety,Price_per_KG,Avg_Temp_C,Max_Temp_C,Min_Temp_C,Rainfall_mm,Cumulative_Rainfall_mm,Flood,Drought,Yield_per_Hectare,Production_tonnes,Area_Hectares,Import_tonnes,Export_tonnes,Fertilizer_Cost,Seed_Cost,Labor_Cost,Fuel_Cost,Inflation,CPI,Lag1_Price,Lag2_Price
2015,1,Barisal,Potato,Red_Potato,17.0,19.2,26.2,13.4,5.8,5.8,0,0,18.5,9254000,471000.0,0.0,45000.0,19.0,57.0,300.0,81.0,6.4,98.5,25.0,27.0
2015,1,Barisal,Potato,White_Potato,14.0,19.2,26.2,13.4,5.8,5.8,0,0,18.5,9254000,471000.0,0.0,45000.0,19.0,57.0,300.0,81.0,6.4,98.5,21.0,23.0
2015,1,Barisal,Rice,Coarse,32.4,18.8,26.2,12.5,6.5,6.5,0,0,3.95,34500000,11400000.0,450000.0,5000.0,800.0,550.0,410.0,66.0,6.2,185.4,32.2,32.0
2015,1,Barisal,Rice,Miniket,43.8,18.8,26.2,12.5,6.5,6.5,0,0,3.95,34500000,11400000.0,450000.0,5000.0,800.0,550.0,410.0,66.0,6.2,185.4,43.5,43.2
2015,1,Barisal,Rice,Nazirshail,47.8,18.8,26.2,12.5,6.5,6.5,0,0,3.95,34500000,11400000.0,450000.0,5000.0,800.0,550.0,410.0,66.0,6.2,185.4,47.5,47.2
2015,1,Barisal,Rice,Aromatic,86.0,18.8,26.2,12.5,6.5,6.5,0,0,3.95,34500000,11400000.0,450000.0,5000.0,800.0,550.0,410.0,66.0,6.2,185.4,85.5,85.0
2015,1,Barisal,Tomato,Local,30.1,20.5,26.8,14.2,5.5,5.5,0,0,13.8,389000,27518.0,200.0,80.0,1200.0,950.0,380.0,62.0,6.99,198.5,55.1,74.2
2015,1,Barisal,Tomato,Hybrid,40.4,20.5,26.8,14.2,5.5,5.5,0,0,13.8,389000,27518.0,200.0,80.0,1200.0,950.0,380.0,62.0,6.99,198.5,62.8,88.5
2015,1,Barisal,Tomato,Roma,45.8,20.5,26.8,14.2,5.5,5.5,0,0,13.8,389000,27518.0,200.0,80.0,1200.0,950.0,380.0,62.0,6.99,198.5,68.5,95.4
2015,1,Barisal,Tomato,Cherry,130.0,20.5,26.8,14.2,5.5,5.5,0,0,13.8,389000,27518.0,200.0,80.0,1200.0,950.0,380.0,62.0,6.99,198.5,165.0,200.0
